Sentence,Aspects,Polarity
Extras were expensive Free Wi Fi was very slow although option to upgrade for EUR 15 0 a day avail Water from the room mini bar was eye watering at EUR 5 0 a bottle Given the EUR 300 price I paid per night felt these should have been included as they would be at the Intercontinental,Service ,0
Extras were expensive Free Wi Fi was very slow although option to upgrade for EUR 15 0 a day avail Water from the room mini bar was eye watering at EUR 5 0 a bottle Given the EUR 300 price I paid per night felt these should have been included as they would be at the Intercontinental,Room ,0
Extras were expensive Free Wi Fi was very slow although option to upgrade for EUR 15 0 a day avail Water from the room mini bar was eye watering at EUR 5 0 a bottle Given the EUR 300 price I paid per night felt these should have been included as they would be at the Intercontinental,Value ,0
Extras were expensive Free Wi Fi was very slow although option to upgrade for EUR 15 0 a day avail Water from the room mini bar was eye watering at EUR 5 0 a bottle Given the EUR 300 price I paid per night felt these should have been included as they would be at the Intercontinental,Meal ,0
Room is not soundproof we could hear all the conversations of the next rooms mostly they don t respond to our request saying come down and get it there is nobody else attending the reception desk,Service ,0
Room is not soundproof we could hear all the conversations of the next rooms mostly they don t respond to our request saying come down and get it there is nobody else attending the reception desk,Room ,0
I was supposed to have a 3 15 am phone call to wake me It never came I asked the night before for a Regular paris Taxi to take me to the airport When I came down the driver was already there but he spent 10 minutes trying to figure out where the airport was When I got into the Taxi the meter was already set on 15 00 Euros It was 4 00 am and there was no traffic I was told the Taxi to Orlay airport was 40 00 45 00 euro It was 55 00 and the driver locked the doors until I paid No Taxi ever did that in the many times I traveled to Paris I will never forget that I do not trust the staff who calls a private driver and the driver doesn t know where a major airport is located Shame on him and shame on your staff I will not stay there again,Location ,0
I was supposed to have a 3 15 am phone call to wake me It never came I asked the night before for a Regular paris Taxi to take me to the airport When I came down the driver was already there but he spent 10 minutes trying to figure out where the airport was When I got into the Taxi the meter was already set on 15 00 Euros It was 4 00 am and there was no traffic I was told the Taxi to Orlay airport was 40 00 45 00 euro It was 55 00 and the driver locked the doors until I paid No Taxi ever did that in the many times I traveled to Paris I will never forget that I do not trust the staff who calls a private driver and the driver doesn t know where a major airport is located Shame on him and shame on your staff I will not stay there again,Staff ,0
I was supposed to have a 3 15 am phone call to wake me It never came I asked the night before for a Regular paris Taxi to take me to the airport When I came down the driver was already there but he spent 10 minutes trying to figure out where the airport was When I got into the Taxi the meter was already set on 15 00 Euros It was 4 00 am and there was no traffic I was told the Taxi to Orlay airport was 40 00 45 00 euro It was 55 00 and the driver locked the doors until I paid No Taxi ever did that in the many times I traveled to Paris I will never forget that I do not trust the staff who calls a private driver and the driver doesn t know where a major airport is located Shame on him and shame on your staff I will not stay there again,Room ,0
I was supposed to have a 3 15 am phone call to wake me It never came I asked the night before for a Regular paris Taxi to take me to the airport When I came down the driver was already there but he spent 10 minutes trying to figure out where the airport was When I got into the Taxi the meter was already set on 15 00 Euros It was 4 00 am and there was no traffic I was told the Taxi to Orlay airport was 40 00 45 00 euro It was 55 00 and the driver locked the doors until I paid No Taxi ever did that in the many times I traveled to Paris I will never forget that I do not trust the staff who calls a private driver and the driver doesn t know where a major airport is located Shame on him and shame on your staff I will not stay there again,Facility ,0
price should be fixed in pounds Stirling not changed after the booking it may be in the terms agreed but changing the price afterwards leaves a very bad taste of suspicion,Value ,0
Ants in the room Toilet was in one room and sink on the other side of room,Room ,0
Ants in the room Toilet was in one room and sink on the other side of room,Service ,0
